first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
31060,VILLAGE OF RIVER FOREST,0,31060_0,River Forest_0,River Forest,31060000
31060,VILLAGE OF RIVER FOREST LIBRARY FUND,0,31060_0,River Forest_0,River Forest,31060001
31070,VILLAGE OF RIVER GROVE,0,31070_0,River Grove_0,River Grove,31070000
31080,VILLAGE OF RIVERDALE,1,31080_1,Riverdale_1,Riverdale,31080000
31090,VILLAGE OF RIVERSIDE,0,31090_0,Riverside_0,Riverside,31090000
31090,VILLAGE OF RIVERSIDE LIBRARY FUND,0,31090_0,Riverside_0,Riverside,31090001
31100,VILLAGE OF ROBBINS,1,31100_1,Robbins_1,Robbins,31100000
31110,CITY OF ROLLING MEADOWS,1,31110_1,Rolling Meadows_1,Rolling Meadows,31110000
31110,CITY OF ROLLING MEADOWS LIBRARY FUND,1,31110_1,Rolling Meadows_1,Rolling Meadows,31110001
31120,VILLAGE OF ROSELLE,0,31120_0,Roselle_0,Roselle,31120000
31130,VILLAGE OF ROSEMONT,1,31130_1,Rosemont_1,Rosemont,31130000
31140,VILLAGE OF SAUK VILLAGE,0,31140_0,Sauk Village_0,Sauk Village,31140000
31150,VILLAGE OF SCHAUMBURG,1,31150_1,Schaumburg_1,Schaumburg,31150000
31160,VILLAGE OF SCHILLER PARK,1,31160_1,Schiller Park_1,Schiller Park,31160000
31160,VILLAGE OF SCHILLER PARK LIBRARY FUND,1,31160_1,Schiller Park_1,Schiller Park,31160001
31170,VILLAGE OF SKOKIE,1,31170_1,Skokie_1,Skokie,31170000
31170,VILLAGE OF SKOKIE LIBRARY FUND,1,31170_1,Skokie_1,Skokie,31170001
31180,VILLAGE OF SOUTH BARRINGTON,1,31180_1,South Barrington_1,South Barrington,31180000
31190,VILLAGE OF SOUTH CHICAGO HEIGHTS,0,31190_0,South Chicago Heights_0,South Chicago Heights,31190000
31200,VILLAGE OF SOUTH HOLLAND,1,31200_1,South Holland_1,South Holland,31200000
31200,VILLAGE OF SOUTH HOLLAND LIBRARY FUND,1,31200_1,South Holland_1,South Holland,31200001
31210,VILLAGE OF STEGER,0,31210_0,Steger_0,Steger,31210000
31220,VILLAGE OF STICKNEY,1,31220_1,Stickney_1,Stickney,31220000
31230,VILLAGE OF STONE PARK,1,31230_1,Stone Park_1,Stone Park,31230000
31240,VILLAGE OF STREAMWOOD,1,31240_1,Streamwood_1,Streamwood,31240000
31250,VILLAGE OF SUMMIT,1,31250_0,Summit_1,Summit,31250000
31250,VILLAGE OF SUMMIT LIBRARY FUND,0,31250_0,Summit_0,Summit,31250001
31260,VILLAGE OF THORNTON,1,31260_1,Thornton_1,Thornton,31260000
31260,VILLAGE OF THORNTON LIBRARY FUND,1,31260_1,Thornton_1,Thornton,31260001
